,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
27,"47.
The Favourite
(2018)",(2018),R21,119 min,"Biography, Comedy, Drama",7.5,91,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.","Votes:
207,925
| Gross:
$34.37M"
28,"48.
Moneyball
(2011)",(2011),PG13,133 min,"Biography, Drama, Sport",7.6,87,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"Votes:
438,726
| Gross:
$75.61M"
29,"49.
The Big Short
(2015)",(2015),R,130 min,"Biography, Comedy, Drama",7.8,81,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.","Votes:
446,122
| Gross:
$70.26M"
30,"50.
Hamilton
(2020)",(2020),NC16,160 min,"Biography, Drama, History",8.3,89,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Votes:
101,054"
0,"1.
Guardians of the Galaxy Vol. 3
(2023)",(2023),PG13,150 min,"Action, Adventure, Comedy",8.3,64,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Votes:
123,203"
1,"4.
Dungeons & Dragons: Honor Among Thieves
(2023)",(2023),PG13,134 min,"Action, Adventure, Comedy",7.4,72,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Votes:
99,139"
2,"5.
A Man Called Otto
(2022)",(2022),NC16,126 min,"Comedy, Drama",7.5,51,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.","Votes:
79,192
| Gross:
$62.47M"
3,"7.
The Super Mario Bros. Movie
(2023)",(2023),PG,92 min,"Animation, Adventure, Comedy",7.2,46,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,"Votes:
111,060"
4,"11.
Renfield
(2023)",(2023),M18,93 min,"Comedy, Fantasy, Horror",6.4,53,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.","Votes:
34,246"
5,"12.
Guardians of the Galaxy
(2014)",(2014),PG13,121 min,"Action, Adventure, Comedy",8.0,76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Votes:
1,212,863
| Gross:
$333.18M"
6,"13.
Peter Pan & Wendy
(2023)",(2023),PG,106 min,"Action, Adventure, Comedy",4.1,61,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.","Votes:
20,047"
